id;phone;degree;profile_picture;birth_day;score;user_votes
1;980727961;instalación;system Pescado Extremadura;2023-03-18;94626;16587
2;940 096 946;estructura;Ensalada;2023-03-18;3496;89983
3;997-696-362;revolutionize Verde port;Berkshire Ferrocarril;2023-03-18;66995;7071
4;904779453;online Berkshire Borders;e-services Avon;2023-03-18;71273;20594
5;953.625.868;implement Pantalones Cine;eyeballs;2023-03-18;44718;66982
6;979.839.771;Plástico;payment Granito;2023-03-18;60836;47021
7;932750769;logística;Innovador;2023-03-18;19508;28173
8;916425416;Buckinghamshire transparent Hormigon;withdrawal;2023-03-18;70709;83850
9;904-391-366;Bebes redundant;Swedish;2023-03-18;80020;40450
10;991 366 191;open-source Riera;Pollo;2023-03-18;63605;9540
